transaction_id,amount,distance_from_home,age,fraud_flag
1,57.450712295168486,6.626677246134771,25,0
2,47.92603548243223,3.9066659208089396,43,1
3,59.715328071510385,27.775127920108496,68,0
4,72.84544784612038,32.88418366486839,62,0
5,46.48769937914996,93.1400978028046,61,0
6,46.487945645762295,10.6415870830521,22,1
7,73.68819223261087,9.304878239234654,23,0
8,61.51152093729363,29.95909006687174,43,0
9,42.95788421097572,8.334673418615063,71,0
10,58.13840065378947,53.40275848798653,21,0
11,43.04873460781307,39.096783143324984,36,0
12,43.01405369644615,11.207112188843194,37,0
13,53.629434073490515,27.79569432990922,50,0
14,21.300796330133032,28.09265973710034,37,0
15,24.126232512304508,2.1767503761343603,66,0
16,41.56568706138541,46.568913617352635,29,0
17,34.80753319498364,14.074149795135087,64,0
18,54.71370998892911,35.0266511504666,18,0
19,36.37963886718184,7.714708523290166,43,0
20,28.815444479970626,45.17581029091852,31,0
21,71.98473153382331,9.859769081203424,55,0
22,46.61335549270196,0.21793613230350956,54,0
23,51.012923070318855,47.158145939249074,79,0
24,28.628777206798148,1.9145122109695052,28,0
25,41.834259132122256,7.693072667700777,53,0
26,51.663838845647994,59.93944766376571,30,0
27,32.73509633866546,60.15899080207979,60,0
28,55.63547027518508,17.039945821105277,20,0
29,40.99041965121793,19.984601607810493,50,0
30,45.62459375310085,11.900293272457152,23,0
31,40.97440081655905,6.9404555749239405,67,0
32,77.78417276763406,7.969726691007795,73,0
33,49.79754162893099,22.326471598570127,27,0
34,34.13433606566149,27.916757473261544,22,0
35,62.338173681547836,31.363908324422972,40,0
36,31.687345250434667,31.176620636974835,27,0
37,53.132953925071334,1.912738930806389,61,0
38,20.604948141803366,13.64099193146712,19,0
39,30.077209266523543,1.1856341289747558,30,0
40,52.952918538036855,15.949226313907857,57,0
41,61.07699869993115,11.651105499745672,19,0
42,52.57052421784956,43.73237328441603,37,0
43,48.265275764176394,8.643832389357701,18,0
44,45.48344456616067,2.4901195510490175,54,0
45,27.822170144488588,3.0861530908423873,26,0
46,39.20233687407937,28.668610941581875,34,0
47,43.09041843560319,19.2581135949607,26,0
48,65.85683339328374,2.132174244907709,28,0
49,55.15427434352692,1.7571104333721017,32,0
50,23.55439766955899,24.144169433061997,41,0
51,54.86125954092192,1.5109217905159427,55,0
52,44.22376579375525,34.503717076171625,72,0
53,39.84616999541062,24.4999950626001,52,0
54,59.175144332613016,1.6969750116062412,47,0
55,65.46499283743927,1.7730773555561339,48,0
56,63.96920178674298,86.30917124116183,66,0
57,37.41173715166042,9.376751651045792,22,0
58,45.36181436223178,9.26110520950625,79,0
59,54.96895147105346,33.511508065653544,77,0
60,64.63317690683539,58.843290759264875,61,0
61,42.81238643232065,85.37547879203969,67,0
62,47.215115350042744,27.997984602326834,31,0
63,33.40497538990958,9.440419992382513,70,0
64,32.05690063878994,1.7438798739591452,73,0
65,62.18788733591297,30.024850809092513,28,0
66,70.34360042856234,16.34720815122986,26,0
67,48.91984817629499,11.040662506099475,51,0
68,65.05299346838036,47.36475350956181,29,0
69,55.424540375714514,2.3576041594376047,52,0
70,40.323203680923136,13.570102187459085,52,0
71,55.42093408262621,0.22837178865083338,18,0
72,73.07054849698955,12.647087391658525,57,0
73,49.46260941335073,1.1590086213185156,39,0
74,73.4696548372101,2.5298199186234243,77,0
75,10.703823438653835,2.5005246401491252,46,0
76,62.32853756562836,20.95136772813943,25,0
77,51.30570602357257,27.411954351929456,28,0
78,45.51488974301199,17.51107554405737,58,0
79,51.37641164803254,65.49440418204755,54,0
80,20.186466280986608,9.395931558405344,31,0
81,46.70492168243732,6.729383148411174,77,0
82,55.3566885726762,40.59005076340459,47,0
83,72.16841067112274,5.061641354637068,52,0
84,42.22594672589529,66.05740212503821,38,0
85,37.87259595660218,0.24457888717938614,54,0
86,42.47364434623195,70.05053845758964,22,0
87,63.731031765531114,0.8823799723700378,36,0
88,54.93126664489527,44.35442458320018,76,0
89,42.05359694349442,15.002865006987808,31,0
90,57.699011496700344,99.13657215852066,43,0
91,51.456163240220604,1.5332275190890987,79,1
92,64.52967485799334,16.142193274666976,21,0
93,39.469203591839715,69.6715044251201,42,0
94,45.085067801033475,14.80887866362088,62,0
95,44.118377703017636,19.852565807623748,59,0
96,28.04727577801822,23.798024762335483,42,0
97,54.44180415596864,12.122555113539018,35,0
98,53.91582908269834,19.753483460160442,57,0
99,50.07670184963691,17.556517236115113,25,0
100,46.481192999372794,46.28465538965295,56,0
101,28.769438869243785,0.9302292348696195,57,0
102,43.69032015851961,6.596854517975169,31,0
103,44.85928225209846,60.07992011721862,49,0
104,37.96584096167572,44.19351656906972,68,0
105,47.580714325009865,12.1635052391924,78,0
106,56.060762852218076,19.358660574779545,55,0
107,78.29278851815795,6.497468397902603,50,0
108,52.61866719247759,4.16808322872129,40,0
109,53.86325586084146,12.461171976081975,32,0
110,48.883311263507494,8.719070692334668,50,0
111,21.21843177051438,17.52487412013286,42,0
112,49.602291868261744,1.6184456886636958,34,0
113,50.9034531491154,73.29920245045135,50,0
114,86.94863168727929,85.67731151105077,64,0
115,47.114585528283165,23.95727763825579,72,0
116,54.523210135004184,15.361568688241798,19,0
117,49.47932345442135,7.4075860310872,31,0
118,32.46982943570702,33.61814334975993,70,0
119,67.14234221772531,23.08659167297631,57,0
120,61.27899549030161,3.5494730820097677,57,0
121,61.865479205645705,48.36602183998255,68,0
122,36.35918817807892,34.57989022734543,56,0
123,71.04191466404149,59.834770500668725,68,0
124,28.972234058115788,25.872080083922686,23,0
125,58.80285640700406,19.008080391827455,23,0
126,82.85683438714968,10.834050131862266,20,0
127,35.14195512303968,53.98036723094236,24,0
128,41.50553405595842,40.2078476009384,68,0
129,51.49477047631462,0.9254587730624557,25,0
130,42.44786518825701,0.5344163373302273,59,0
131,26.74004853400801,9.446955231665257,69,0
132,51.02844462209041,33.27295445992172,32,0
133,34.06544429410843,87.28550936440335,64,0
134,57.10388645952772,3.260190198689594,46,0
135,36.20863648649295,18.034482604314714,50,0
136,73.24901607526309,9.589473995161923,69,0
137,38.251200614956446,70.07417108751925,47,0
138,45.16907725691487,36.91826414867269,56,0
139,62.202758260545046,36.44380092939714,44,0
140,31.53703525349067,12.648311422795471,53,0
141,53.41189901906194,10.71669872654698,46,0
142,69.60714131423643,6.387777843001224,55,0
143,25.88775148158159,1.1605392768967242,74,0
144,52.769507877984566,40.0085228000662,50,0
145,53.89824191372635,33.52234878499846,78,0
146,61.72734307665966,163.44891195636166,54,0
147,31.445739336828773,113.89746801488667,44,0
148,30.193150803735854,16.21303185282788,72,0
149,57.829123484253465,29.305661804125215,50,0
150,54.45477009849779,57.923433657488715,79,0
151,53.75739275518815,37.895440294184915,21,0
152,55.19672314245464,5.6830488916229305,39,0
153,39.79962917632264,11.97653654799729,19,0
154,53.48380545741505,2.765926886261773,27,0
155,54.39608709948022,61.604475728834174,22,0
156,39.28472872960448,18.636954051772364,76,0
157,77.98661766717134,5.192074508369674,27,1
158,57.10749381367681,22.276590783465004,50,0
159,32.13044754196027,19.253408694861434,71,0
160,59.84830412950745,8.868409245942122,55,0
161,35.379774946590175,2.4107824279693855,30,0
162,61.806269056136784,22.268825670382043,48,0
